product_name,product_price,rating,global_review,past_month_order
"EASICUTI Baby Tongue Cleaner, Baby Toothbrush, 42Pcs Disposable Infant Toothbrush Clean Baby Mouth,Gauze Gum Cleaner Baby Oral Cleaning Stick Dental Care for 0-36 Month Baby+Free 1 Finger Toothbrush",25,4.4,0,3000
"Baby Proof Kit, 58 Packs Baby Proofing Kit Essentials Child Proofing Appliance with Cabinet Locks, Corner Guards and Outlet Covers - All-in-one Super Value Child Proof Kit",9,4.6,4731,700
"Lansinoh Breastfeeding Essentials for Nursing Moms: Nipple Cream, 48 Nursing Pads, 25 Breastmilk Storage Bags, 2 Hot & Cold Breast Therapy Packs, Silicone Breast Pump, 77 Pieces",9,4.2,2522,2000
"Pro Goleem Elephant Security Blanket, Soft Lovey Unisex Lovie Baby Gifts for Newborn Boys and Girls Snuggle Toy Stuffed Animal Grey 16 Inch",29,4.7,0,6000
"LaPettieCo Handmade Baby Headbands Stretchy Nylon Headband with Bows for Infant Baby Toddler Girls- Pack of 10, Colorful, 5 x 5 x 0.7 inches",42,4.8,17133,1000
"Water Warmer, HEYVALUE Baby Bottle Warmer, Formula Maker with Night Light, 4 Temperature Control & 72H Keep Warm, Detachable Tank, Instantly Dispenses Warm Water, Feed Baby More Easier and Healthier",13,4.8,1727,3000
"Frida Baby Baby Basics Kit|Includes NoseFrida, NailFrida, Windi, DermaFrida + Silicone Carry Case",15,4.6,1988,7000
"Shynerk Baby Car Mirror, Safety Car Seat Mirror for Rear Facing Infant with Wide Crystal Clear View, Shatterproof, Fully Assembled, Crash Tested and Certified",44,4.8,3573,20000
"VTech VM819 Video Baby Monitor with 19 Hour Battery Life, 1000ft Long Range, 2.8” Display, Auto Night Vision, 2Way Audio Talk, Temperature Sensor and Lullabies,480p",39,4.7,27474,4000
"Dreamegg White Noise Machine - Portable Sound Machine for Baby Adult, Features Powerful Battery, 21 Soothing Sound, Noise Canceling for Office & Sleeping, Sound Therapy for Home, Travel, Registry Gift",18,4.6,6552,10000
"Pampers Aqua Pure Sensitive Baby Wipes , 672 count",59,4.7,3099,30000
Black and White High Contrast Baby Toys 0-6 6-12 Months Soft Book for Newborn Brain Development Tummy Time Toys Infant Sensory Crinkle Toys 0-3 3-6 Month Montessori Learning Activities for Babies,21,4.8,17036,8000
Yeeeasy Tummy Time Water Mat 丨Water Play Mat for Babies Inflatable Tummy Time Water Play Mat for Infants and Toddlers 3 to 12 Months Promote Development Toys Cute Baby Gifts,33,4.7,0,10000
"NUK Comfy Orthodontic Pacifiers, 0-6 Months, Timeless Collection, 5 Count (Pack of 1)",13,4.3,2524,20000
Alpine Muffy Baby Ear Protection for Babies and Toddlers up to 36 Months - CE & ANSI Certified - Noise Reduction Earmuffs - Comfortable Headphones Against Hearing Damage & Improves Sleep - Green,8,4.6,28997,4000
"Doli Yearning Upgrade Baby Bath Thermometer Room Temperature| Water Thermometer|Kids' Bathroom Safety Products| Baby Bath(Seal Shape)℃/℉, LCD",8,4.4,21728,3000
"b&h Baby Thermometer, The Infant Baby Bath Floating Toy Safety Temperature Water Thermometer (Classic Duck)",29,4.5,2668,8000
"Cetaphil Baby Wash & Shampoo Plus Body Lotion, Healthy Skin Essentials, Head to Toe Hydration for up to 24 Hours, for Delicate, Sensitive Skin, 2-Pack,White",13,4.6,7947,10000
"Huggies Natural Care Sensitive Baby Wipes, Unscented, Hypoallergenic, 99% Purified Water, 12 Flip-Top Packs (768 Wipes Total)",16,4.8,9049,50000
"Yoofoss Hooded Baby Towels for Newborn 2 Pack 100% Muslin Cotton Baby Bath Towel with Hood for Babies, Infant, Toddler and Kids, Large 32x32Inch, Soft and Absorbent Newborn Essential",15,4.8,50936,5000
"Baby Playpen with Mat 71 x 59 inch Baby Playpen for Babies and Toddlers, Extra Large Baby Playyard for Indoor & Outdoor Activity, with Soft Breathable Mesh for Kids Center",22,4.8,1457,500
"Univivi Door Hanging Organizer Nursery Closet Cabinet Baby Storage with 4 Large Pockets and 3 Small PVC Pockets for Cosmetics, Toys and Sundries (Grey)",19,4.7,0,2000
"Ubbi Vertical Baby Bottle Drying Rack, Space Saving Countertop Drying Rack Baby Accessory, Taupe",109,4.7,9094,1000
"Konssy Muslin Baby Bibs 6 Pack Baby Bandana Drool Bibs Soft Cotton for Unisex Boys Girls, Absorbent Solid Colors Bibs",18,4.8,0,50
"Pigeon Breast Milk Storage Bag, Disposable Self Standing Bag, 5 Colourful Design, 50 Pcs (Pack of 2), 6 Oz",17,4.7,0,200
"hiccapop MiniPod Baby Dome for On the Go | Travel Baby Tent for Beach Protects from Sun, Wind, Bugs | Lightweight Portable Baby Bed, Baby Beach Tent for Baby | On the Go Baby Dome for Outside & Inside",84,4.6,0,100
"ONE PIX Backseat Car Organizer Mats Back Seat Organizers and Storage Bag with Touch Screen Tablet Holder for Kids Toddlers Car Seats, Travel Accessories, Road Trip Essentials Kids",11,4.4,8093,1000
"Lutron Caseta Wireless Pedestal for Pico Smart Remote, L-PED1-WH, White",9,4.9,1524,400
Catchy - The Food and Mess Catcher for The Stokke Tripp Trapp - Catchy Food Catching Accessory for Highchairs - Baby & Toddler Food Mat - High Chair Food Catcher - High Chair Accessories,59,4.0,0,3000
YEYA Upgrade No Drill Anti Tip Furniture Anchor,39,4.8,23930,1000
"hiccapop OmniBoost Travel Booster Seat with Tray for Baby, Dining Table, Camping, Beach, Grandma’s | Folding Portable Tip-Free Design Straps to Kitchen Chairs",15,4.2,0,500
