product_name,product_price,product_rating,order_info
XMWEALTHY Unisex Infant Swaddle Blankets Soft Thick Fleece Knit Baby Girls Boys Stroller Wraps Baby Accessory Grey,"27
","4.7 out of 5 stars
                     









                    6,114",8K+ bought in past month
BlueMello Baby Swaddle Blanket | Ultra-Soft Plush Essential for Infants 0-6 Months | Receiving Swaddling Wrap White | Ideal Newborn Registry and Toddler Boy Accessories | Perfect Baby Girl Shower Gift,"23
","4.7 out of 5 stars
                     









                    4,744",3K+ bought in past month
"AGUDAN Baby Carrier with Hip Seat, Versatile 9 in 1 Infant Carrier for All Seasons Newborn to Toddler, Baby Backpack Carrier (Grey)","18
","4.3 out of 5 stars
                       









                      65",800+ bought in past month
"4-in 1 Tummy Time Mirror&Play Activity Mat with Support Pillow&Baby Rattle,Sensory Newborn Infant Toys Set,High Contrast Black and White Baby Toys, Tummy Time Toys for 0,3,6,12 Month Learning","49
","4.8 out of 5 stars
                       









                      1,530",4K+ bought in past month
"Tiny Twinkle Mess-Proof Baby Bib - Waterproof Bib for Baby Boy or Girl - PVC, BPA & Phthalate Free - Baby Food Bibs","32
","4.6 out of 5 stars
                     









                    6,805",4K+ bought in past month
Baby Infant Rattle Socks Toys 3-6 to 12 Months Girl Boy Learning Toy,"16
","4.6 out of 5 stars
                     









                    1,703",50+ bought in past month
AMTIFO Baby Car Camera Easy Install: Plug-Play 360 Rotation Backseat Camera 2 Kids Rear Facing Carseat Camera Clear Night Vision Car Baby Monitor,"12
","4.6 out of 5 stars
                     









                    1,583",10K+ bought in past month
"KoolerThings Baby Bassinet, Bedside Sleeper for Baby, Easy Folding Portable Crib with Storage Basket for Newborn, Bedside Bassinet, Comfy Mattress/Travel Bag Included (Bassinet)","25
","4.6 out of 5 stars
                     









                    3,414",4K+ bought in past month
"3-Pack Organic Baby Swaddle Sleep Sacks- Ergonomic 0-3 Months, Swaddles for Newborns, Blanket Wrap, Baby Essentials (Nordic)",189,"4.8 out of 5 stars
                     









                    7,087",5K+ bought in past month
Lily Miles Baby Diaper Caddy - Large Organizer Tote Bag for Baby essentials Boy or Girl - Baby Shower Basket - Nursery Must Haves - Registry Favorites - Newborn Caddie Car Travel,"25
","4.6 out of 5 stars
                     









                    1,939",6K+ bought in past month
"3-Pack Baby Beanies, Baby Hats - Newborn Hats, Baby Boy Hats, Baby Girl Hats, Newborn Beanie, Baby Winter Hat, Baby Hat, Baby Boy Beanie, Baby Girl Beanie, Infant Beanie, Toddler Beanie (Mars, M)","24
","4.7 out of 5 stars
                     









                    7,545",5K+ bought in past month
Frida Baby Control The Flow Polypropylene ABS Rinser|Bath Time Rinse Cup with Easy Grip Handle and Removable Rain Shower,"15
","4.8 out of 5 stars
                     









                    34,196",10K+ bought in past month
"RUVALINO Diaper Bag Backpack, Multifunction Travel Back Pack Maternity Baby Changing Bags, Large Capacity, Waterproof and Stylish, Gray","7
 ","4.9 out of 5 stars
                     









                    2,447",10K+ bought in past month
"Ubbi Vertical Baby Bottle Drying Rack, Space Saving Countertop Drying Rack Baby Accessory, Gray","42
","4.4 out of 5 stars
                     









                    484",300+ bought in past month
