product_name,product_price,product_rating,order_info
Fisher-Price Baby Bouncer Rainforest Jumperoo Activity Center with Music Lights Sounds and Developmental Toys,117,"4.8 out of 5 stars
                        









                       20,067",1K+ bought in past month
"Frida Baby Infrared Thermometer 3-in-1 Ear, Forehead + Touchless for Babies, Toddlers, Adults, and Bottle Temperatures,Digital","49
","4.5 out of 5 stars
                      









                     3,248",10K+ bought in past month
Yookidoo Baby Bath Shower Head - Elephant Water Pump with Trunk Spout Rinser - Control Water Flow from 2 Elephant Trunk Knobs for Maximum Fun in Tub or Sink for Newborn Babies(Pink),"24
","4.4 out of 5 stars
                      









                     15,504",2K+ bought in past month
"HIPHOP PANDA Hooded Towel - Rayon Made from Bamboo, Soft Bath Towel with Bear Ears for Babie, Toddler, Infant - Ultra Absorbent, Baby Stuff Shower Gifts for Boy and Girl - (Bear, 30 x 30 Inch)","12
","4.8 out of 5 stars
                      









                     11,662",10K+ bought in past month
"Momcozy Warming Lactation Massager 2-in-1, Soft Breast Massager for Breastfeeding, Heat + Vibration Adjustable for Clogged Ducts, Improve Milk Flow, Blue-Green","77
","4.7 out of 5 stars
                                









                               2,497",3K+ bought in past month
"RUVALINO Diaper Bag Backpack, Multifunction Travel Back Pack Maternity Baby Changing Bags, Large Capacity, Waterproof and Stylish, Gray","29
","4.4 out of 5 stars
                      









                     3,770",1K+ bought in past month
"Infantino Flip Advanced 4-in-1 Carrier - Ergonomic, convertible, face-in and face-out front and back carry for newborns and older babies 8-32 lbs","42
","4.8 out of 5 stars
                      









                     34,170",5K+ bought in past month
Frida Baby Medi Frida the Accu-Dose Pacifier Baby Medicine Dispenser,"28
","4.6 out of 5 stars
                      









                     65,590",10K+ bought in past month
"iHealth No-Touch Forehead Thermometer, Digital Infrared Thermometer for Adults and Kids, Touchless Baby Thermometer, 3 Ultra-Sensitive Sensors, Large LED Digits, Quiet Vibration Feedback, Non Contact","12
","4.8 out of 5 stars
                      









                     17,872",10K+ bought in past month
"Portable Diaper Changing Pad, Portable Changing pad for Newborn Girl & Boy - Baby Changing Pad with Smart Wipes Pocket – Waterproof Travel Changing Kit - Baby Gift by Kopi Baby","22
","4.4 out of 5 stars
                      









                     167,830",40K+ bought in past month
"Breast Pump, Wearable Breast Pump, Hands Free Breast Pump, 2 Mode & 5 Levels, 24mm Flange, 2 Pack","25
","4.8 out of 5 stars
                      









                     5,675",9K+ bought in past month
"Aveeno Baby Welcome Little One Gift Basket, Baby Skincare Set with Baby Body Wash & Shampoo, Calming Bath Wash, All Over Baby Wipes, & Daily Moisturizing Lotion, 5 Items","27
","4.2 out of 5 stars
                        









                       1,368",1K+ bought in past month
"Infinno Inflatable Tummy Time Mat Premium Baby Water Play Mat for Infants and Toddlers Baby Toys for 3 to 24 Months, Strengthen Your Baby's Muscles, Portable","69
","4.8 out of 5 stars
                      









                     958",2K+ bought in past month
"haakaa Baby Nail Trimmer Electric Safe Baby Nail Clippers Baby Nail File Kit Manicure Set, Trim Polish Grooming kit for Newborn Toddler or Adults Toes Fingernails, 6 Grinding Heads and LED Light","23
","4.4 out of 5 stars
                      









                     20,266",10K+ bought in past month
"Contoured Changing Pad - Waterproof & Non-Slip, Includes a Cozy, Breathable, & Washable Cover - Jool Baby (Gray)","13
","4.5 out of 5 stars
                      









                     11,054",7K+ bought in past month
