product_name,product_price,product_rating,order_info
"Pamo Babe Playard Deluxe Nursery Center, Foldable Playpen for Baby & Toddler, Bassinet, Mattress, Changing Table for Newborn (Grey)",150,"4.7 out of 5 stars
                       









                      1,004",1K+ bought in past month
"Baby Playpen for Babies and Toddlers, 71 x 59 inch Extra Large Baby Fence with Unique Little Penguin Character Design, Li'l Pengyu Soft Breathable Mesh Baby Playard for Indoor & Outdoor","89
","4.7 out of 5 stars
                       









                      218",1K+ bought in past month
Pamo Babe All-Terrain Wagon Stroller Tandem Stroller (Brown),239,"3.9 out of 5 stars
                       









                      3",400+ bought in past month
"HIPHOP PANDA Baby Washcloths, Rayon Made from Bamboo - 2 Layer Soft Absorbent Newborn Bath Face Towel - Natural Baby Wipes for Delicate Skin - Baby Registry as Shower(6 Pack)","9
 ","4.8 out of 5 stars
                     









                    25,437",10K+ bought in past month
Alpine Muffy Baby Ear Protection for Babies and Toddlers up to 36 Months - CE & ANSI Certified - Noise Reduction Earmuffs - Comfortable Headphones Against Hearing Damage & Improves Sleep - Green,"29
","4.4 out of 5 stars
                     









                    21,728",4K+ bought in past month
"EASICUTI Baby Tongue Cleaner, Baby Toothbrush, 42Pcs Disposable Infant Toothbrush Clean Baby Mouth,Gauze Gum Cleaner Baby Oral Cleaning Stick Dental Care for 0-36 Month Baby+Free 1 Finger Toothbrush","9
 ","4.6 out of 5 stars
                     









                    4,690",3K+ bought in past month
The best products for kinky and coily hair,109,"4.7 out of 5 stars
                     









                    218",500+ bought in past month
"Baby Playpen with Mat 71 x 59 inch Baby Playpen for Babies and Toddlers, Extra Large Baby Playyard for Indoor & Outdoor Activity, with Soft Breathable Mesh for Kids Center","13
","4.5 out of 5 stars
                     









                    2,668",3K+ bought in past month
"Doli Yearning Upgrade Baby Bath Thermometer Room Temperature| Water Thermometer|Kids' Bathroom Safety Products| Baby Bath(Seal Shape)℃/℉, LCD","85
","4.8 out of 5 stars
                     









                    9,761",1K+ bought in past month
"Fisher-Price Baby Portable Bassinet and Play Space On-the-Go Baby Dome with Developmental Toys and Canopy, Windmill","19
","4.6 out of 5 stars
                     









                    28,390",3K+ bought in past month
"Baby Nail Clippers 20 in 1 by Royal Angels | Safe Electric Baby Nail Trimmer, Baby Nail File Kit, Additional Replacement Heads, Newborn Toddler Toes and Fingernails, Trim and Polish (Pink)",159,"4.2 out of 5 stars
                     









                    568",100+ bought in past month
"Sense-U Smart 2K Video Baby Monitor, FSA&HSA Eligible, Pan/Tilt, Person/Baby Crying/Motion Detection, 2-Way Talk, Night Vision, Background Audio, No Monthly Fee (Compatible with Smart Baby Monitor)","37
","4.6 out of 5 stars
                     









                    2,204",1K+ bought in past month
"HEYVALUE Baby Food Maker, 13-in-1 Baby Food Processor Gift Sets for Baby Food, Fruit, Vegatable, Meat, with Baby Food Containers, Baby Food Freezer Tray, Silicone Spoons, Silicone Spatula (Gray)","39
","4.2 out of 5 stars
                     









                    110",400+ bought in past month
Baby Bather Plus - Bath Support with Thermometer for Bathtub or Sink (0-6 Months) Slip-Resistant & Ergonomic for Newborn Infant (Aqua) - Jool Baby,"34
","4.6 out of 5 stars
                     









                    905",5K+ bought in past month
Hatch Rest Go | Portable Sound Machine for Babies and Kids | Baby Sleep Soother | 10 Soothing Sounds | White Noise | Shush | Travel | Registry Gift | Baby Shower | Clips on Baby Stroller | Slate,"34
","4.4 out of 5 stars
                     









                    19,747",9K+ bought in past month
Baby Shusher The Sleep Miracle Sound Machine Rhythmic Human Voice Shushes Baby to Sleep Every Time The Quickest Way to Get Baby to Sleep,249,"4.7 out of 5 stars
                       









                      1,716",500+ bought in past month
"Maxi-Cosi 6-in-1 Minla High Chair, 6 Modes for Years of Growth, Essential Grey","39
","4.5 out of 5 stars
                       









                      137",50+ bought in past month
"VFOLO Baby Bath Seat, Infant Bath Seat, Have Temperature Display Bar and Non-Slip Soft Mat，3 Bath Toys, 4 Upgraded Suction Cups are More Stable, Babies Shower Chair for Babies 6 Months & Up","44
","4.5 out of 5 stars
                       









                      77",1K+ bought in past month
"Baby Play Mat, Soft Foam Play Mats for Floor, Foldable Waterproof Playmats for Babies and Toddlers Kids, Reversible Baby Crawling Mat for Indoor and Outdoor, Tropical Boho Geometric Design, 79''x51''","29
","4.5 out of 5 stars
                       









                      68",50+ bought in past month
"RowinsyDD 32 Pack Glass Baby Food Storage Containers, 4 oz Leakproof Baby Food Jars with Lids, Small Glass Food Containers for Infant Baby Food, Freezer & Microwave Safe, BPA Free","6
 ","4.8 out of 5 stars
                     









                    2,753",2K+ bought in past month
