product_name,product_price,product_rating,order_info
"FAREVER Baby Wipe Dispenser, 4 Pack Portable Refillable Wipe Holder, Reusable Lightweight Wipes Container Case Holder for Travel Wet Wipe Pouch, Floral","6
 ","4.6 out of 5 stars
                        









                       1,764",600+ bought in past month
"Konssy Muslin Baby Bibs 6 Pack Baby Bandana Drool Bibs Soft Cotton for Unisex Boys Girls, Absorbent Solid Colors Bibs","18
","4.8 out of 5 stars
                        









                       41",50+ bought in past month
"Pigeon Breast Milk Storage Bag, Disposable Self Standing Bag, 5 Colourful Design, 50 Pcs (Pack of 2), 6 Oz","17
","4.7 out of 5 stars
                        









                       12",200+ bought in past month
"ONE PIX Backseat Car Organizer Mats Back Seat Organizers and Storage Bag with Touch Screen Tablet Holder for Kids Toddlers Car Seats, Travel Accessories, Road Trip Essentials Kids","11
","4.4 out of 5 stars
                      









                     8,093",1K+ bought in past month
"Lutron Caseta Wireless Pedestal for Pico Smart Remote, L-PED1-WH, White","9
 ","4.9 out of 5 stars
                      









                     1,524",500+ bought in past month
Catchy - The Food and Mess Catcher for The Stokke Tripp Trapp - Catchy Food Catching Accessory for Highchairs - Baby & Toddler Food Mat - High Chair Food Catcher - High Chair Accessories,"59
","4.0 out of 5 stars
                      









                     27",400+ bought in past month
"hiccapop OmniBoost Travel Booster Seat with Tray for Baby, Dining Table, Camping, Beach, Grandma’s | Folding Portable Tip-Free Design Straps to Kitchen Chairs","39
","4.8 out of 5 stars
                      









                     23,930",3K+ bought in past month
Baby Spiral Hanging Stroller and Car Seat Toys for Babies 0-6 Months Newborn Plush Activity Toys for Bed Bassinet Crib Baby Carrier Gifts (Bee),"15
","4.2 out of 5 stars
                      









                     63",1K+ bought in past month
"Baby Grooming Kit, Infant Safety Care Set with Hair Brush Comb Nail Clipper Nasal Aspirator Ear Cleaner,Baby Essentials Kit for Newborn Girls Boys (Pink Baby Grooming kit)","12
","4.5 out of 5 stars
                      









                     784",500+ bought in past month
"Univivi Door Hanging Organizer Nursery Closet Cabinet Baby Storage with 4 Large Pockets and 3 Small PVC Pockets for Cosmetics, Toys and Sundries (Grey)","26
","4.7 out of 5 stars
                      









                     9,104",2K+ bought in past month
"Dahey Headband Holder Bow Hanger for Girls Hair Bows, Macrame Headbands Hair Accessories Hanger Necklace Display with 30 Hooks Wall Hanging Over Door Organizer Boho Nursery Decor for Baby's Room","15
","4.7 out of 5 stars
                      









                     63",300+ bought in past month
"hiccapop MiniPod Baby Dome for On the Go | Travel Baby Tent for Beach Protects from Sun, Wind, Bugs | Lightweight Portable Baby Bed, Baby Beach Tent for Baby | On the Go Baby Dome for Outside & Inside","84
","4.6 out of 5 stars
                      









                     350",100+ bought in past month
"BOLOLO Portable Milk Warmer with Super Fast Charging and Cordless, Instant breastmilk, Formula or Water Warmer with 10 Ounces Big Capacity, Baby Flask for Vehicle,car,Airplane Journey","69
","4.4 out of 5 stars
                        









                       143",1K+ bought in past month
Fumdonnie Cute Baby Boys Snowsuit New Born baby girls Winter Coat Toddler Clothes,"27
","4.6 out of 5 stars
                        









                       1,148",500+ bought in past month
"b&h Digital Baby Thermometer, The Infant Baby Bath Floating Toy Safety Temperature Water Thermometer (Classic Duck)","16
","4.6 out of 5 stars
                      









                     7,959",8K+ bought in past month
